timestamp,AP_X_mean,AP_X_sum,AP_X_std,AP_X_min,AP_X_max,AP_X_n,AP_Y_mean,AP_Y_sum,AP_Y_std,AP_Y_min,AP_Y_max,AP_Y_n,AP_Z_mean,AP_Z_sum,AP_Z_std,AP_Z_min,AP_Z_max,AP_Z_n,Vector magnitude_mean,Vector magnitude_sum,Vector magnitude_std,Vector magnitude_min,Vector magnitude_max,Vector magnitude_n,Pitch_mean,Pitch_sum,Pitch_std,Pitch_min,Pitch_max,Pitch_n,Roll_mean,Roll_sum,Roll_std,Roll_min,Roll_max,Roll_n
12/10/2013 09:50:00:000000,-0.0606298262548,-15.703125,0.277374510698,-1.140625,0.984375,259,-0.132782335907,-34.390625,0.265667135957,-1.375,0.390625,259,0.820161679537,212.421875,0.390337401208,-1.171875,1.703125,259,0.979003806575,253.561985903,0.188156277989,0.236964857627,1.9938259194,259,2.79473930907,723.837481049,16.8913656359,-63.1659472972,45.8358213079,259,7.32896698108,1898.2024481,15.5461399161,-68.4318705644,68.3191345608,259
12/10/2013 10:00:00:000000,0.0152655950496,183.171875,0.0339097184449,-1.109375,0.546875,11999,-0.00823636344695,-98.828125,0.0647869531031,-1.796875,1.234375,11999,0.951788951163,11420.515625,0.134223514345,-1.828125,1.40625,11999,0.963675825672,11563.1462322,0.0299191702126,0.223169638392,2.08381504847,11999,-0.919670873127,-11035.1308066,2.00101871471,-41.3107332082,67.8629872757,11999,0.496683626776,5959.70683768,3.80453403689,-63.6090320786,84.8200265945,11999
12/10/2013 10:10:00:000000,0.0139360571714,167.21875,0.00550384629478,-0.171875,0.09375,11999,2.73460288357e-05,0.328125,0.00404199091465,-0.25,0.1875,11999,0.964633771564,11574.640625,0.00691522676571,0.9375,1.015625,11999,0.964758379446,11576.135795,0.00694603076035,0.953125,1.03432307271,11999,-0.827545089561,-9929.71352964,0.324632343274,-5.33964898879,9.56529511591,11999,-0.00163748225171,-19.6481495383,0.236274638029,-11.3084024486,14.4684912655,11999
12/10/2013 10:20:00:000000,0.015625,187.484375,0.0,0.015625,0.015625,11999,0.0,0.0,0.0,0.0,0.0,11999,0.964498343612,11573.015625,0.00766105063455,0.953125,0.984375,11999,0.96462490685,11574.5342573,0.00766004160503,0.953253065167,0.984499000126,11999,-0.928176735065,-11137.192644,0.00739987004304,-0.939190945736,-0.909380449199,11999,0.0,0.0,0.0,-0,-0,11999
12/10/2013 10:30:00:000000,0.0152942432703,183.515625,0.00224914959212,0.0,0.015625,11999,0.0,0.0,0.0,0.0,0.0,11999,0.964072526877,11567.90625,0.00715589007245,0.953125,0.96875,11999,0.964196434073,11569.3930124,0.00715911410986,0.953125,0.96887599987,11999,-0.908698112978,-10903.4686576,0.133802646536,-0.939190945736,-0,11999,0.0,0.0,0.0,-0,-0,11999
12/10/2013 10:40:00:000000,0.0155364509542,186.421875,0.0012727524811,-0.046875,0.015625,11999,-2.86482206851e-05,-0.34375,0.00376844916857,-0.40625,0.0625,11999,0.965679431619,11587.1875,0.00621862695888,0.921875,0.96875,11999,0.965812594334,11588.7853194,0.00621866840796,0.953125,1.00850872269,11999,-0.921710497677,-11059.6042616,0.0752702912417,-0.939190945736,2.66404004896,11999,0.00167208582038,20.0633577587,0.220424932561,-3.69090725811,23.754745269,11999
12/10/2013 10:50:00:000000,0.0120687140595,144.8125,0.00655132033484,0.0,0.015625,11999,0.0,0.0,0.0,0.0,0.0,11999,0.964374635386,11571.53125,0.0070157862415,0.953125,0.96875,11999,0.964472415414,11572.7045126,0.00701371482026,0.953125,0.96887599987,11999,-0.717089320141,-8604.35475237,0.389307756804,-0.939190945736,-0,11999,0.0,0.0,0.0,-0,-0,11999
12/10/2013 11:00:00:000000,0.0121351258438,145.609375,0.00825282040176,-0.234375,0.171875,11999,-1.43241103425e-05,-0.171875,0.0027695701259,-0.078125,0.125,11999,0.963921472623,11566.09375,0.0072763269266,0.9375,1.0,11999,0.964037107654,11567.4812547,0.00728329805432,0.938020688738,1.00268195045,11999,-0.721753541179,-8660.32074061,0.489014103921,-10.0491726026,13.517838998,11999,0.000857191892041,10.2854455126,0.16308589641,-7.22253281316,4.60826263481,11999
12/10/2013 11:10:00:000000,-0.291336778065,-3495.75,0.300052767372,-1.984375,0.65625,11999,-0.0601169889157,-721.34375,0.123677044912,-1.21875,0.828125,11999,0.798286575965,9578.640625,0.31332216645,-0.671875,1.5,11999,0.960674852782,11527.1375585,0.0797176883885,0.184877493222,2.35958194457,11999,20.1785552112,242122.483979,23.4531005891,-37.0846415053,88.9051539738,11999,3.68774156172,44249.2109991,7.35470027475,-40.3155422108,81.1056774334,11999
12/10/2013 11:20:00:000000,-0.147350820902,-1768.0625,0.220963765704,-1.984375,0.453125,11999,-0.109057265189,-1308.578125,0.0930164965285,-1.1875,1.046875,11999,0.895851998083,10749.328125,0.20844355016,-1.0,1.953125,11999,0.964355107095,11571.29693,0.0842706911302,0.211947811973,2.84370707385,11999,9.56956863603,114825.254064,15.5858842798,-30.0690738209,90.0,11999,6.56595012992,78784.8356089,5.71399849619,-67.007062268,76.1823518383,11999
